poi_id,poi_type,poi_ses,lon,lat
poi_001,cultural,low,-87.68647263618186,41.912038390012455
poi_002,cultural,low,-87.58771240869537,41.93050202410668
poi_003,consumption,high,-87.68585562114605,41.855914699751885
poi_004,educational,high,-87.65772161222995,41.99598151789978
poi_005,labor,high,-87.59007591730915,41.92877282160334
poi_006,labor,low,-87.6036037103273,41.91651568715461
poi_007,educational,high,-87.66810602908954,41.92317420518957
poi_008,consumption,high,-87.67008420098573,41.98502805889584
poi_009,labor,low,-87.60014542392454,41.87800457905978
poi_010,labor,high,-87.51188702438958,41.857583937002346
poi_011,labor,high,-87.633153734682125,41.81814719294198
poi_012,labor,high,-87.66231313408353,41.86440678080544
poi_013,cultural,high,-87.64605676434003,41.951654022512955
poi_014,consumption,high,-87.5938511843793,41.82088258592412
poi_015,labor,high,-87.69570995429531,41.94205557052046
poi_016,cultural,high,-87.54024793850257,41.99329547672532
poi_017,cultural,high,-87.67793297995813,41.84029824524186
poi_018,consumption,low,-87.59204034283758,41.82169773089699
poi_019,labor,high,-87.585753220506,41.811080435756594
poi_020,labor,high,-87.57620969060808,41.96594470301643
poi_021,cultural,low,-87.55702926130034,41.91623955131508
poi_022,consumption,low,-87.6753398842644,41.89401847505942
poi_023,cultural,low,-87.63779007624835,41.87300282400101
poi_024,cultural,high,-87.51085216747597,41.85602492545731
poi_025,consumption,high,-87.59999498152175,41.91994317099452
poi_026,labor,high,-87.67295390018262,41.96371392258443
poi_027,consumption,low,-87.52614843589254,41.81956645608879
poi_028,cultural,high,-87.65899007758127,41.99273790521547
poi_029,consumption,low,-87.51499082180672,41.83374728867784
poi_030,educational,low,-87.52264928035439,41.817216681176795
poi_031,educational,high,-87.6727408349514,41.97224213914014
poi_032,educational,low,-87.54293011156842,41.904958120407535
poi_033,consumption,high,-87.60933931716718,41.93136217505671
poi_034,labor,low,-87.67285151612013,41.84590387456119
poi_035,consumption,high,-87.52295579263009,41.94424520628527
